LCN,Aruba,35563.3125,NA,NA,NA,NA
SAS,Afghanistan,2057.062256,NA,NA,NA,NA
SSF,Angola,8036.69043,51.8,6.7,4.4,11.5
ECS,Albania,13724.05859,51.4,4.5,4.8,15.21
ECS,Andorra,43711.80078,31.2,8.2,2.6,11.6
MEA,United Arab Emirates,67119.13281,39,4,3,10
LCN,Argentina,23550.09961,38.74,3.16,1.84,15.36
ECS,Armenia,11019.83887,57,3.2,3.4,17.4
EAS,American Samoa,11113.44238,19.7,3.4,7.9,25.6
LCN,Antigua and Barbuda,17965.50195,46,7,7,12
EAS,Australia,47784.17969,48.44,3.81,19.38,3.46
ECS,Austria,56029.61328,31.4,7,4.4,18.5
ECS,Azerbaijan,14853.91016,45.19,5.28,3.49,13.73
SSF,Burundi,839.7785034,81,2.9,2.1,3.2
ECS,Belgium,51914.91406,14.18,3.1,1.91,40.14
SSF,Benin,2227.352295,52.1,1.6,1.6,34.3
SSF,Burkina Faso,1925.331177,21,1,1,61
SAS,Bangladesh,3195.737061,80.58,0.44,0.5,8.59
ECS,Bulgaria,22279.36133,24.35,5.83,1.98,17.93
MEA,Bahrain,47937.77734,59.1,3.4,2.1,15.2
LCN,"Bahamas, The",35400.08203,46,7,7,12
ECS,Bosnia and Herzegovina,12671.00781,NA,NA,NA,92.7
ECS,Belarus,18307.51953,30,8,2,35
LCN,Belize,7259.024414,47,8,5,5
NAC,Bermuda,80982.36719,17,9,6,26
LCN,Bolivia,7984.413574,55.1969112,2.903474903,2.501930502,22.7027027
LCN,Brazil,14596.24609,51.4,2.4,2.9,16.7
LCN,Barbados,15444.74609,18.3,3.7,4.9,5.7
EAS,Brunei Darussalam,60865.98828,36,3,4,15
SAS,Bhutan,6743.016113,58,4,1,7
SSF,Botswana,14126.38965,8.1,NA,0.1,91.9
SSF,Central African Republic,822.6104736,NA,NA,NA,NA
NAC,Canada,47672.07813,24,6,13,8
ECS,Switzerland,68394.28906,29,4,3,29
ECS,Channel Islands,46672.59375,NA,NA,NA,NA
LCN,Chile,20361.71484,53.3,6.6,2.3,16
EAS,China,16092.30078,61.2,2.1,1.1,13.1
SSF,Côte d’Ivoire,3660.902832,NA,NA,NA,NA
